Team1,symbol,Team2,Year,Date,MonthNo,DayNum,Time,Week,Game,Weekday,Team1WL,Team1Pts,Team2Pts,Margin,OT,Spread,vsLine,OU,OU Result
CAR,@,SFO,2013,2013-11-10,11,10,4:05,10,9,Sun,W,10,9,1,,5.5,covered,43,under
DAL,@,NOR,2013,2013-11-10,11,10,8:30,10,10,Sun,L,17,49,-32,,5.5,not covered,54,over
OAK,@,NWE,2014,2014-09-21,9,21,1:02,3,3,Sun,L,9,16,-7,,14,covered,46.5,under
OAK,@,DEN,2014,2014-12-28,12,28,4:25,17,16,Sun,L,14,47,-33,,14,not covered,48,over
ATL,@,GNB,2014,2014-12-08,12,8,8:30,14,13,Mon,L,37,43,-6,,13.5,covered,54.5,over
CLE,@,BAL,2014,2014-12-28,12,28,1:02,17,16,Sun,L,10,20,-10,,13.5,covered,39.5,under
JAX,@,IND,2014,2014-11-23,11,23,1:02,12,11,Sun,L,3,23,-20,,13.5,not covered,49,under
JAX,@,BAL,2014,2014-12-14,12,14,1:02,15,14,Sun,L,12,20,-8,,13.5,covered,45,under
OAK,@,SEA,2014,2014-11-02,11,2,4:26,9,8,Sun,L,24,30,-6,,13.5,covered,44,over
JAX,@,SDG,2014,2014-09-28,9,28,4:05,4,4,Sun,L,14,33,-19,,12.5,not covered,45,over
KAN,@,DEN,2014,2014-09-14,9,14,4:25,2,2,Sun,L,17,24,-7,,11.5,covered,50.5,under
TEN,@,PHI,2014,2014-11-23,11,23,1:02,12,11,Sun,L,24,43,-19,,11,not covered,49,over
STL,@,SEA,2014,2014-12-28,12,28,4:27,17,16,Sun,L,6,20,-14,,11,not covered,41.5,under
JAX,@,PHI,2014,2014-09-07,9,7,1:02,1,1,Sun,L,17,34,-17,,10.5,not covered,52,under
TEN,@,BAL,2014,2014-11-09,11,9,1:03,10,9,Sun,L,7,21,-14,,10.5,not covered,44.5,under
STL,@,SFO,2014,2014-11-02,11,2,4:05,9,8,Sun,W,13,10,3,,10.5,covered,44,under
TAM,@,DET,2014,2014-12-07,12,7,1:02,14,13,Sun,L,17,34,-17,,10.5,not covered,42,over
JAX,@,CIN,2014,2014-11-02,11,2,1:02,9,9,Sun,L,23,33,-10,,10,push,44,over
MIN,@,NOR,2014,2014-09-21,9,21,1:03,3,3,Sun,L,9,20,-11,,10,not covered,49,under
OAK,@,SDG,2014,2014-11-16,11,16,4:05,11,10,Sun,L,6,13,-7,,10,covered,45,under
OAK,@,KAN,2014,2014-12-14,12,14,1:03,15,14,Sun,L,13,31,-18,,10,not covered,41.5,over
TAM,@,NOR,2014,2014-10-05,10,5,1:03,5,5,Sun,L,31,37,-6,OT,10,covered,48,over
BUF,@,DEN,2014,2014-12-07,12,7,4:05,14,13,Sun,L,17,24,-7,,9.5,covered,47.5,under
CHI,@,GNB,2014,2014-11-09,11,9,8:30,10,9,Sun,L,14,55,-41,,9.5,not covered,54,over
DAL,@,SEA,2014,2014-10-12,10,12,4:26,6,6,Sun,W,30,23,7,,9.5,covered,47,over
NYG,@,SEA,2014,2014-11-09,11,9,4:26,10,9,Sun,L,17,38,-21,,9.5,not covered,45,over
NYJ,@,NWE,2014,2014-10-16,10,16,8:25,7,7,Thu,L,25,27,-2,,9.5,covered,44.5,over
SFO,@,SEA,2014,2014-12-14,12,14,4:26,15,14,Sun,L,7,17,-10,,9.5,not covered,38,under
WAS,@,DAL,2014,2014-10-27,10,27,8:30,8,8,Mon,W,20,17,3,OT,9.5,covered,49,under
WAS,@,SFO,2014,2014-11-23,11,23,4:25,12,11,Sun,L,13,17,-4,,9.5,covered,44,under
CAR,@,NOR,2014,2014-12-07,12,7,1:03,14,13,Sun,W,41,10,31,,9,covered,50.5,over
